序号	证券代码	证券名称	期初余量(万股)	转融券融出数量(万股)	期末余量(万股)	期末余额(万元)
158	603001	奥康国际	1.00	-	1.00	10.10
159	603858	步长制药	1.00	-	1.00	25.35
160	688001	N华兴	-	79.98	79.98	4,438.89
161	688002	N睿创	-	108.00	108.00	5,421.60
162	688003	N天准	-	54.55	54.55	2,585.67
163	688005	N容百	-	146.00	146.00	7,231.38
164	688006	N杭可	-	49.10	49.10	2,681.84
165	688007	N光峰	-	129.38	129.38	5,025.12
166	688008	N澜起	-	307.00	307.00	23,000.44
167	688009	N通号	-	9,157.00	9,157.00	112,356.39
168	688010	N福光	-	20.10	20.10	978.27
169	688011	N新光	-	1.10	1.10	77.19
170	688012	N中微	-	71.25	71.25	5,773.39
171	688016	N心脉	-	172.51	172.51	27,308.33
172	688018	N乐鑫	-	70.00	70.00	9,037.70
173	688019	N安集	-	25.40	25.40	4,978.65
174	688020	N方邦	-	38.23	38.23	3,865.05
175	688022	N瀚川	-	48.00	48.00	2,409.12
176	688028	N沃尔德	-	6.00	6.00	336.00
177	688029	N南微	-	114.39	114.39	12,641.24
178	688033	N天宜	-	6.00	6.00	240.48
179	688066	N航天	-	62.00	62.00	2,951.20
180	688088	N虹软	-	93.48	93.48	6,127.61
181	688122	N超导	-	6.00	6.00	329.94
182	688333	N铂力特	-	1.10	1.10	70.76
183	688388	N嘉元	-	212.31	212.31	12,029.48
