118,600795,国电电力,101,-,101,256.5,
119,600809,山西汾酒,10.39,1,11.39,777.48,
120,600837,海通证券,952,20,968,"13,445.52",
121,600872,中炬高新,2.85,-,2.85,114.86,
122,600887,伊利股份,4,-,4,130.44,
123,600893,航发动力,19,-,-,-,
124,600900,长江电力,63.2,-,63.2,"1,191.77",
125,600919,江苏银行,15,-,15,108.15,
126,600958,东方证券,56,-,55,573.65,
127,600999,招商证券,1,-,1,16.76,
128,601001,大同煤业,3.32,-,3.32,14.71,
129,601006,大秦铁路,3,-,3,24.78,
130,601108,财通证券,338.9,15,337.9,"3,763.94",
131,601138,工业富联,1,-,1,12.25,
132,601166,兴业银行,237.17,-,237.17,"4,405.11",
133,601211,国泰君安,54.48,-,54.48,970.29,
134,601288,农业银行,11,-,11,41.01,
135,601318,中国平安,36.49,1.5,37.99,"3,359.01",
136,601328,交通银行,300,-,300,"1,731.00",
137,601333,广深铁路,31,-,31,97.34,
138,601377,兴业证券,75.5,-,75.5,490.75,
139,601555,东吴证券,212.7,-,204.7,"2,113.42",
140,601588,北辰实业,2,-,2,7.54,
141,601601,中国太保,5.2,-,5.2,204.36,
142,601608,中信重工,187.3,10,192,750.72,
143,601688,华泰证券,"2,776.00",-,"2,776.00","57,851.84",
144,601699,潞安环能,132.66,-,122.86,971.26,
145,601727,上海电气,337.26,-,337.26,"1,773.99",
146,601801,皖新传媒,1.8,-,1.8,10.35,
147,601818,光大银行,432,-,432,"1,640.50",
148,601877,正泰电器,2,-,2,47.64,
149,601886,江河集团,8,-,8,61.84,
150,601901,方正证券,74,18,92,635.72,
151,601929,吉视传媒,105,-,105,240.73,
152,601933,永辉超市,3,-,3,28.65,
153,601958,金钼股份,43.88,-,43.88,309.08,
154,601988,中国银行,505,-,5,19.27,
155,601989,中国重工,192.6,-,192.6,"1,103.41",
156,601991,大唐发电,109.65,-,109.65,325.66,
157,601998,XD中信银,102,-,1,5.9,
158,603001,奥康国际,1,-,1,10.1,
159,603858,步长制药,1,-,1,25.35,
160,688001,N华兴,-,79.98,79.98,"4,438.89",
161,688002,N睿创,-,108,108,"5,421.60",
162,688003,N天准,-,54.55,54.55,"2,585.67",
163,688005,N容百,-,146,146,"7,231.38",
164,688006,N杭可,-,49.1,49.1,"2,681.84",
165,688007,N光峰,-,129.38,129.38,"5,025.12",
166,688008,N澜起,-,307,307,"23,000.44",
167,688009,N通号,-,"9,157.00","9,157.00","112,356.39",
168,688010,N福光,-,20.1,20.1,978.27,
169,688011,N新光,-,1.1,1.1,77.19,
170,688012,N中微,-,71.25,71.25,"5,773.39",
171,688016,N心脉,-,172.51,172.51,"27,308.33",
172,688018,N乐鑫,-,70,70,"9,037.70",
173,688019,N安集,-,25.4,25.4,"4,978.65",
174,688020,N方邦,-,38.23,38.23,"3,865.05",
175,688022,N瀚川,-,48,48,"2,409.12",
176,688028,N沃尔德,-,6,6,336,
177,688029,N南微,-,114.39,114.39,"12,641.24",
178,688033,N天宜,-,6,6,240.48,
179,688066,N航天,-,62,62,"2,951.20",
180,688088,N虹软,-,93.48,93.48,"6,127.61",
181,688122,N超导,-,6,6,329.94,
182,688333,N铂力特,-,1.1,1.1,70.76,
183,688388,N嘉元,-,212.31,212.31,"12,029.48",
